Marital status,Course,Daytime/evening attendance,Previous qualification,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Unemployment rate,Inflation rate,GDP,Target,Total Grade,Total Approved,Total Enrolled,Total Evaluations,Target_encoded
2,16,1,8,0,0,1,0,0,39,7.6,2.6,0.32,Dropout,12.66666667,3,12,26,0
2,3,0,1,0,0,1,0,0,44,12.7,3.7,-1.7,Graduate,24.208333330000002,14,14,18,2
1,7,1,1,0,0,1,1,0,19,13.9,-0.3,0.79,Enrolled,27.25,8,10,20,1
1,15,1,1,0,0,1,0,0,18,8.9,1.4,3.51,Graduate,27.0,12,12,12,2
1,12,1,1,0,0,1,0,1,18,12.4,0.5,1.79,Graduate,28.22777778,15,15,16,2
1,6,1,1,0,0,1,0,0,19,12.7,3.7,-1.7,Enrolled,28.0,10,10,14,1
1,12,1,1,0,1,0,0,0,19,13.9,-0.3,0.79,Dropout,11.96,4,14,17,0
1,6,1,16,0,0,1,0,0,21,8.9,1.4,3.51,Dropout,26.275,13,19,26,0
1,2,1,1,0,0,1,0,0,20,16.2,0.3,-0.92,Graduate,0.0,0,0,0,2
2,3,0,1,0,0,1,0,0,36,9.4,-0.8,-3.12,Dropout,0.0,0,12,0,0
4,4,1,9,0,0,1,0,0,43,15.5,2.8,-4.06,Graduate,28.862348179999998,31,31,33,2
1,16,1,1,0,0,1,0,0,19,11.1,0.6,2.02,Dropout,0.0,0,12,0,0
1,5,1,1,0,1,1,0,0,20,11.1,0.6,2.02,Graduate,25.27272727,21,21,23,2
1,10,1,1,0,0,1,0,0,19,16.2,0.3,-0.92,Dropout,0.0,0,12,0,0
1,6,1,1,0,0,1,0,0,20,15.5,2.8,-4.06,Dropout,27.45,8,12,32,0
1,12,1,1,0,0,1,0,0,20,12.4,0.5,1.79,Dropout,25.56666667,11,14,19,0
1,16,1,1,0,0,1,0,0,20,16.2,0.3,-0.92,Enrolled,24.666666669999998,9,14,22,1
1,10,1,1,0,0,1,0,0,18,13.9,-0.3,0.79,Graduate,28.85714286,12,12,14,2
1,9,1,1,0,0,1,0,1,18,8.9,1.4,3.51,Enrolled,24.0,6,10,20,1
1,6,1,1,0,0,1,0,0,19,10.8,1.4,1.74,Graduate,26.200000000000003,10,10,11,2
1,15,1,1,0,0,1,0,0,18,10.8,1.4,1.74,Graduate,25.23809524,12,12,13,2
1,12,1,1,0,0,1,0,0,18,7.6,2.6,0.32,Dropout,25.03333334,12,14,14,0
1,12,1,1,0,0,1,0,0,20,13.9,-0.3,0.79,Enrolled,24.61666667,13,14,18,1
1,10,1,1,0,0,1,0,1,20,7.6,2.6,0.32,Enrolled,20.75,6,12,25,1
1,9,1,1,0,0,1,0,0,20,12.4,0.5,1.79,Enrolled,21.0,6,10,21,1
1,6,1,1,0,0,1,0,0,18,9.4,-0.8,-3.12,Graduate,24.542857140000002,10,10,18,2
1,9,1,1,0,0,1,0,0,18,11.1,0.6,2.02,Graduate,26.6,10,10,10,2
1,11,1,1,0,0,1,0,0,21,9.4,-0.8,-3.12,Dropout,22.0,5,12,24,0
1,9,1,1,0,0,1,0,0,19,16.2,0.3,-0.92,Graduate,22.05,9,10,17,2
1,2,1,1,0,0,1,0,0,19,10.8,1.4,1.74,Dropout,0.0,0,0,0,0
1,14,1,1,0,0,1,0,1,19,9.4,-0.8,-3.12,Graduate,27.0,10,10,10,2
1,6,1,1,0,0,1,0,0,19,15.5,2.8,-4.06,Graduate,26.36666667,12,12,28,2
1,13,1,1,0,0,1,0,0,19,13.9,-0.3,0.79,Dropout,12.1,5,14,12,0
1,6,1,14,0,0,1,0,0,20,12.4,0.5,1.79,Graduate,27.94444445,11,12,24,2
1,16,1,1,0,0,1,0,1,18,9.4,-0.8,-3.12,Enrolled,26.200000000000003,10,12,15,1
1,10,1,1,0,0,1,0,0,18,12.4,0.5,1.79,Graduate,26.666666669999998,12,12,13,2
1,12,1,1,0,0,1,0,0,19,12.4,0.5,1.79,Graduate,28.478253969999997,15,15,16,2
1,12,1,1,0,0,1,0,1,18,13.9,-0.3,0.79,Dropout,26.980357140000002,14,15,18,0
1,5,1,1,0,0,1,0,0,18,7.6,2.6,0.32,Graduate,25.333333330000002,12,12,12,2
1,9,1,1,0,0,1,0,0,19,8.9,1.4,3.51,Graduate,27.0,10,10,12,2
1,12,1,1,0,0,1,0,0,19,13.9,-0.3,0.79,Dropout,14.0,5,14,15,0
1,10,1,1,0,0,1,0,0,20,7.6,2.6,0.32,Graduate,23.38095238,16,16,23,2
1,14,1,1,0,1,0,0,1,19,12.4,0.5,1.79,Dropout,24.5,9,12,16,0
1,14,1,1,0,0,1,0,0,20,7.6,2.6,0.32,Graduate,23.7,8,10,12,2
1,15,1,1,0,1,1,0,1,18,8.9,1.4,3.51,Graduate,29.66666666,12,12,12,2
1,12,1,1,0,0,1,0,1,20,11.1,0.6,2.02,Enrolled,26.08085714,12,15,18,1
1,12,1,1,0,0,1,0,0,18,13.9,-0.3,0.79,Graduate,34.7125,15,15,16,2
1,12,1,1,0,0,1,0,0,19,7.6,2.6,0.32,Graduate,25.33333334,12,14,14,2
1,15,1,1,0,0,1,0,1,19,12.4,0.5,1.79,Graduate,24.666666669999998,11,12,18,2
1,9,1,1,0,1,0,0,0,22,8.9,1.4,3.51,Enrolled,0.0,0,10,15,1
1,10,1,1,0,0,1,0,1,19,12.4,0.5,1.79,Graduate,22.833333330000002,12,12,13,2
1,12,1,1,0,0,1,0,1,19,15.5,2.8,-4.06,Graduate,25.93625,15,15,21,2
1,16,1,1,0,0,1,0,1,19,9.4,-0.8,-3.12,Graduate,22.8,10,12,19,2
1,11,1,1,0,0,1,0,0,19,7.6,2.6,0.32,Dropout,0.0,0,10,20,0
1,11,1,1,0,0,1,0,0,20,7.6,2.6,0.32,Dropout,22.86666667,8,12,20,0
1,9,1,1,0,0,1,0,0,18,13.9,-0.3,0.79,Graduate,27.541666669999998,10,10,19,2
1,12,1,1,0,0,1,0,1,20,11.1,0.6,2.02,Graduate,28.04190476,13,15,17,2
1,2,1,1,0,0,1,0,0,18,9.4,-0.8,-3.12,Enrolled,0.0,0,0,0,1
1,6,1,1,0,0,1,0,0,19,7.6,2.6,0.32,Graduate,25.8,10,10,12,2
1,16,1,1,0,0,1,0,0,18,9.4,-0.8,-3.12,Enrolled,23.16666666,8,12,21,1
1,16,1,1,0,0,1,0,0,18,7.6,2.6,0.32,Graduate,25.13333333,11,12,15,2
1,16,1,1,0,0,1,0,0,21,9.4,-0.8,-3.12,Dropout,22.666666669999998,6,12,22,0
1,16,1,1,0,0,1,0,0,19,7.6,2.6,0.32,Dropout,23.5,10,12,18,0
1,9,1,1,0,0,1,0,1,18,12.4,0.5,1.79,Graduate,22.4,10,10,10,2
1,10,1,1,0,0,1,0,1,18,12.7,3.7,-1.7,Graduate,24.10714286,12,12,15,2
1,10,1,1,0,0,1,0,0,20,9.4,-0.8,-3.12,Graduate,22.833333330000002,10,12,19,2
1,3,0,1,0,0,1,0,1,24,11.1,0.6,2.02,Graduate,23.6,10,12,20,2
1,14,1,1,0,0,1,0,0,19,10.8,1.4,1.74,Dropout,26.166666669999998,12,12,15,0
1,12,1,1,0,0,1,0,1,18,15.5,2.8,-4.06,Graduate,25.61666667,14,15,21,2
1,12,1,1,0,0,1,0,0,18,15.5,2.8,-4.06,Graduate,30.27375,15,15,16,2
1,16,1,1,0,0,1,0,0,21,10.8,1.4,1.74,Dropout,22.5,7,12,23,0
1,14,1,1,0,0,1,0,0,19,7.6,2.6,0.32,Graduate,28.4,10,10,10,2
1,15,1,1,0,0,1,0,1,19,15.5,2.8,-4.06,Graduate,25.5,12,12,13,2
3,4,1,1,0,1,1,0,0,47,8.9,1.4,3.51,Enrolled,0.0,0,7,1,1
1,10,1,1,0,0,1,0,0,19,13.9,-0.3,0.79,Graduate,22.666666669999998,9,12,22,2
1,12,1,3,0,0,1,0,0,29,12.7,3.7,-1.7,Graduate,28.51428572,14,16,16,2
1,10,1,1,0,0,1,0,0,21,16.2,0.3,-0.92,Dropout,23.333333330000002,5,12,25,0
1,6,1,1,0,0,1,0,0,28,12.7,3.7,-1.7,Enrolled,21.75,8,10,24,1
1,13,1,1,0,0,1,0,0,20,15.5,2.8,-4.06,Graduate,26.019642859999998,15,15,16,2
1,12,1,1,0,0,1,0,0,19,7.6,2.6,0.32,Graduate,23.36666666,12,14,14,2
1,3,0,1,0,0,1,0,0,26,9.4,-0.8,-3.12,Graduate,23.666666669999998,8,12,18,2
1,11,1,1,0,1,0,0,0,20,11.1,0.6,2.02,Dropout,24.916666669999998,10,12,14,0
1,14,1,1,0,0,1,0,1,18,7.6,2.6,0.32,Enrolled,25.166666669999998,7,10,12,1
1,16,1,1,0,0,1,0,0,27,7.6,2.6,0.32,Graduate,25.2,10,12,19,2
1,12,1,1,0,0,1,0,0,20,7.6,2.6,0.32,Dropout,23.9,8,14,16,0
1,16,1,1,0,0,1,0,0,18,9.4,-0.8,-3.12,Dropout,22.8,10,12,20,0
1,12,1,3,0,0,1,0,0,33,16.2,0.3,-0.92,Dropout,28.93333333,12,15,18,0
1,16,1,1,0,0,1,0,0,35,12.4,0.5,1.79,Graduate,25.4085213,40,40,40,2
1,17,0,14,0,0,1,0,1,26,9.4,-0.8,-3.12,Enrolled,25.83333334,12,12,14,1
1,15,1,12,0,1,0,0,0,27,11.1,0.6,2.02,Dropout,12.0,5,12,12,0
1,5,1,1,0,0,0,0,0,19,15.5,2.8,-4.06,Dropout,12.16666667,6,12,12,0
1,11,1,1,0,0,1,0,0,20,11.1,0.6,2.02,Dropout,0.0,0,12,0,0
1,9,1,1,0,1,0,0,0,20,10.8,1.4,1.74,Dropout,20.571428570000002,6,10,18,0
1,10,1,1,0,1,0,0,0,21,9.4,-0.8,-3.12,Enrolled,21.5,12,16,30,1
1,12,1,1,0,0,1,0,1,18,7.6,2.6,0.32,Graduate,26.1,12,14,14,2
1,6,1,1,0,0,1,0,0,24,8.9,1.4,3.51,Dropout,11.0,2,12,16,0
1,5,1,1,0,0,1,0,0,20,16.2,0.3,-0.92,Graduate,23.5,12,12,13,2
1,11,1,1,0,0,1,0,1,21,13.9,-0.3,0.79,Graduate,24.5,12,12,13,2
1,3,0,1,0,0,1,0,0,23,9.4,-0.8,-3.12,Enrolled,20.0,3,11,25,1
1,9,1,1,0,0,1,0,0,24,7.6,2.6,0.32,Dropout,0.0,0,10,10,0
1,16,1,1,0,0,1,0,0,21,12.4,0.5,1.79,Dropout,0.0,0,12,0,0
1,12,1,1,0,0,1,0,0,18,12.7,3.7,-1.7,Graduate,24.48571428,14,16,16,2
1,17,0,15,0,0,1,0,0,27,8.9,1.4,3.51,Dropout,0.0,0,10,0,0
1,12,1,1,0,0,1,0,0,18,9.4,-0.8,-3.12,Graduate,25.8675,16,16,16,2
1,7,1,3,0,0,1,0,0,35,13.9,-0.3,0.79,Dropout,0.0,0,10,0,0
1,16,1,1,0,0,1,0,0,18,11.1,0.6,2.02,Graduate,27.0,14,14,17,2
1,12,1,1,0,0,1,0,0,35,11.1,0.6,2.02,Enrolled,23.15,6,6,7,1
1,6,1,1,0,0,1,0,0,19,10.8,1.4,1.74,Graduate,28.083333330000002,8,10,22,2
1,10,1,1,0,0,1,0,0,20,7.6,2.6,0.32,Graduate,22.5,12,12,14,2
1,12,1,1,0,0,1,0,0,18,10.8,1.4,1.74,Graduate,24.64857142,14,16,16,2
1,10,1,14,0,1,1,0,0,21,13.9,-0.3,0.79,Graduate,23.88095238,12,12,13,2
1,10,1,1,0,0,1,0,1,18,16.2,0.3,-0.92,Graduate,22.39285714,9,12,22,2
1,10,1,1,0,0,1,0,0,18,7.6,2.6,0.32,Graduate,21.75,8,12,18,2
1,12,1,1,0,0,1,0,0,18,12.7,3.7,-1.7,Graduate,25.82857142,14,16,16,2
1,15,1,1,0,0,1,0,1,18,16.2,0.3,-0.92,Graduate,28.0,12,12,12,2
1,6,1,1,0,0,1,0,0,19,13.9,-0.3,0.79,Graduate,27.257142860000002,11,12,17,2
1,11,1,12,0,0,1,0,1,36,16.2,0.3,-0.92,Dropout,26.514285710000003,11,12,13,0
1,12,1,1,0,0,1,0,1,18,12.7,3.7,-1.7,Graduate,25.28571428,14,16,16,2
1,12,1,1,0,0,1,0,1,18,7.6,2.6,0.32,Graduate,25.83333334,12,14,14,2
1,8,1,1,0,0,1,0,1,20,13.9,-0.3,0.79,Graduate,31.48214286,12,12,16,2
1,17,0,1,0,0,1,0,1,26,16.2,0.3,-0.92,Dropout,0.0,0,10,15,0
1,15,1,1,0,0,1,0,0,21,7.6,2.6,0.32,Graduate,23.71428571,12,12,15,2
1,13,1,15,0,0,1,0,0,25,15.5,2.8,-4.06,Enrolled,25.4375,14,15,19,1
1,9,1,1,0,0,1,0,1,19,12.4,0.5,1.79,Graduate,23.2,10,10,12,2
1,3,0,1,0,0,1,0,0,24,9.4,-0.8,-3.12,Dropout,10.0,1,12,17,0
1,3,0,1,0,0,1,0,1,27,8.9,1.4,3.51,Dropout,10.0,1,12,29,0
1,6,1,1,0,0,1,0,0,21,7.6,2.6,0.32,Dropout,13.5,2,10,19,0
1,9,1,1,0,0,1,0,1,18,9.4,-0.8,-3.12,Graduate,25.333333330000002,7,10,15,2
2,16,1,1,1,0,1,0,1,19,10.8,1.4,1.74,Graduate,27.833333330000002,12,12,12,2
1,11,1,1,0,0,1,0,0,18,9.4,-0.8,-3.12,Dropout,23.75,6,12,22,0
1,12,1,1,0,0,1,0,1,19,11.1,0.6,2.02,Graduate,26.04285714,12,15,18,2
1,12,1,1,0,0,1,0,1,19,16.2,0.3,-0.92,Graduate,28.654166670000002,13,15,17,2
2,17,0,17,0,0,1,0,0,33,11.1,0.6,2.02,Graduate,31.13333333,11,11,12,2
2,9,1,3,0,0,1,0,0,45,12.4,0.5,1.79,Graduate,24.8,10,10,11,2
1,10,1,1,0,0,1,0,1,20,11.1,0.6,2.02,Graduate,24.85714286,12,12,13,2
1,14,1,1,0,0,1,0,0,28,7.6,2.6,0.32,Dropout,0.0,0,10,10,0
1,12,1,1,0,0,1,0,1,19,12.7,3.7,-1.7,Graduate,23.14285714,14,16,30,2
1,11,1,1,0,0,1,0,0,18,12.7,3.7,-1.7,Graduate,25.52380953,9,12,16,2
1,11,1,3,0,0,1,0,0,38,15.5,2.8,-4.06,Dropout,0.0,0,12,0,0
1,14,1,1,0,0,1,0,0,19,9.4,-0.8,-3.12,Graduate,26.2,10,10,10,2
1,11,1,1,0,0,1,0,1,21,15.5,2.8,-4.06,Graduate,23.0,10,12,17,2
1,9,1,1,0,0,1,0,0,21,16.2,0.3,-0.92,Dropout,27.0,4,10,24,0
1,10,1,1,0,0,1,0,1,22,10.8,1.4,1.74,Graduate,25.6,11,12,12,2
1,16,1,1,0,0,1,0,1,18,9.4,-0.8,-3.12,Graduate,26.56666667,11,12,15,2
1,10,1,1,1,0,1,0,1,18,15.5,2.8,-4.06,Graduate,22.9047619,12,12,18,2
1,8,1,1,0,0,0,0,0,25,9.4,-0.8,-3.12,Dropout,27.75,8,10,24,0
1,6,1,12,0,1,0,0,0,24,16.2,0.3,-0.92,Dropout,22.083333330000002,6,12,25,0
1,12,1,1,0,0,1,0,0,19,12.4,0.5,1.79,Enrolled,23.93392857,13,14,18,1
1,2,1,1,0,0,1,0,0,24,12.4,0.5,1.79,Enrolled,26.464646469999998,20,30,34,1
1,9,1,1,0,0,1,0,1,20,12.4,0.5,1.79,Graduate,25.2,10,10,10,2
1,9,1,1,0,0,0,0,0,25,10.8,1.4,1.74,Dropout,0.0,0,10,14,0
1,9,1,1,0,0,1,0,1,20,8.9,1.4,3.51,Graduate,25.26363636,19,20,25,2
1,12,1,3,0,0,1,0,0,23,9.4,-0.8,-3.12,Graduate,26.44,16,16,16,2
1,12,1,1,0,0,1,0,1,19,10.8,1.4,1.74,Graduate,26.30285714,14,16,16,2
1,4,1,14,0,1,0,0,0,29,13.9,-0.3,0.79,Dropout,24.083333330000002,6,12,21,0
1,11,1,1,0,0,1,0,0,21,11.1,0.6,2.02,Graduate,23.583333330000002,10,12,16,2
1,14,1,1,0,0,1,0,1,18,11.1,0.6,2.02,Graduate,27.39285714,11,12,23,2
1,5,1,1,0,0,1,0,0,19,9.4,-0.8,-3.12,Enrolled,24.8,10,12,13,1
1,15,1,1,0,0,1,0,1,18,8.9,1.4,3.51,Dropout,27.833333330000002,12,12,12,0
1,6,1,1,0,0,1,0,0,19,7.6,2.6,0.32,Graduate,27.4,10,10,12,2
1,15,1,1,0,0,1,0,0,18,9.4,-0.8,-3.12,Enrolled,11.0,1,12,24,1
1,9,1,1,0,0,1,0,0,18,8.9,1.4,3.51,Graduate,23.200000000000003,10,10,14,2
2,13,1,12,0,1,0,0,1,37,8.9,1.4,3.51,Dropout,16.0,1,14,25,0
1,17,0,15,0,0,1,0,0,29,16.2,0.3,-0.92,Graduate,25.9047619,10,10,24,2
1,5,1,1,0,0,1,0,0,18,7.6,2.6,0.32,Enrolled,24.333333330000002,12,12,12,1
1,10,1,1,0,0,1,0,1,19,12.4,0.5,1.79,Graduate,24.33333334,10,12,17,2
1,10,1,1,0,1,0,0,0,22,16.2,0.3,-0.92,Dropout,24.833333330000002,8,17,24,0
1,11,1,1,0,0,1,0,1,20,15.5,2.8,-4.06,Graduate,21.76666667,11,12,18,2
1,3,0,1,0,0,1,0,0,34,12.7,3.7,-1.7,Dropout,0.0,0,12,0,0
1,7,1,1,0,1,0,0,0,30,7.6,2.6,0.32,Dropout,23.916666669999998,14,24,36,0
1,10,1,1,0,0,1,0,0,18,10.8,1.4,1.74,Graduate,28.0,12,12,14,2
1,10,1,1,0,0,1,0,0,18,12.4,0.5,1.79,Graduate,24.833333330000002,12,12,12,2
1,15,1,1,0,0,1,0,0,18,9.4,-0.8,-3.12,Graduate,23.916666669999998,7,12,21,2
1,12,1,1,0,0,1,0,0,18,12.7,3.7,-1.7,Graduate,29.65714286,14,16,16,2
1,15,1,1,0,0,1,0,1,19,12.7,3.7,-1.7,Graduate,24.200000000000003,10,12,15,2
